CPU%,RAM_USADA,RAM_LIVRE,RAM_TOTAL
1%,0.45089 GB,13.1763 GB,14.6125 GB
1%,0.450623 GB,13.1763 GB,14.6125 GB
1%,0.450535 GB,13.1761 GB,14.6125 GB
1%,0.450287 GB,13.1766 GB,14.6125 GB
1%,0.450912 GB,13.176 GB,14.6125 GB
1%,0.450935 GB,13.1757 GB,14.6125 GB
1%,0.45116 GB,13.1757 GB,14.6125 GB
1%,0.45129 GB,13.1753 GB,14.6125 GB
1%,0.450794 GB,13.1761 GB,14.6125 GB
1%,0.451576 GB,13.1753 GB,14.6125 GB
1%,0.451946 GB,13.1752 GB,14.6125 GB
1%,0.451263 GB,13.1751 GB,14.6125 GB
1%,0.450806 GB,13.1761 GB,14.6125 GB
1%,0.451256 GB,13.1756 GB,14.6125 GB
1%,0.451565 GB,13.1753 GB,14.6125 GB
1%,0.451595 GB,13.1753 GB,14.6125 GB
1%,0.451603 GB,13.175 GB,14.6125 GB
1%,0.451519 GB,13.1751 GB,14.6125 GB
1%,0.450752 GB,13.1761 GB,14.6125 GB
1%,0.450851 GB,13.1758 GB,14.6125 GB
1%,0.451275 GB,13.1758 GB,14.6125 GB
1%,0.451546 GB,13.1753 GB,14.6125 GB
1%,0.451591 GB,13.175 GB,14.6125 GB
1%,0.451576 GB,13.1753 GB,14.6125 GB
1%,0.452164 GB,13.175 GB,14.6125 GB
1%,0.452488 GB,13.1744 GB,14.6125 GB
1%,0.452511 GB,13.1741 GB,14.6125 GB
1%,0.452045 GB,13.1748 GB,14.6125 GB
1%,0.451729 GB,13.1751 GB,14.6125 GB
1%,0.45142 GB,13.1754 GB,14.6125 GB
1%,0.451832 GB,13.175 GB,14.6125 GB
1%,0.45118 GB,13.1757 GB,14.6125 GB
1%,0.451584 GB,13.1753 GB,14.6125 GB
1%,0.451939 GB,13.1747 GB,14.6125 GB
1%,0.451645 GB,13.1754 GB,14.6125 GB
1%,0.451481 GB,13.1756 GB,14.6125 GB
1%,0.451572 GB,13.1753 GB,14.6125 GB
1%,0.45195 GB,13.1749 GB,14.6125 GB
1%,0.451958 GB,13.1751 GB,14.6125 GB
